hmm nyang
08/01/2017 16:23:24.799, Testing device a2 with contact bias (volt) = 0.2V
0.5, 2.158448e-09, 2.505547e-11
1.0, 3.242373e-09, 3.339422e-11
1.5, 3.776935e-09, 3.563142e-11
2.0, 4.093461e-09, 3.94957e-11
2.5, 4.239981e-09, 3.354675e-11
3.0, 4.360942e-09, 3.273323e-11
3.5, 4.387415e-09, 2.769945e-11
4.0, 4.456036e-09, 3.176712e-11
4.5, 4.471554e-09, 3.014005e-11
5.0, 4.523338e-09, 3.283489e-11
5.5, 4.468562e-09, 1.203887e-11
6.0, 4.544739e-09, 2.810623e-11
6.5, 4.526584e-09, 2.76486e-11
7.0, 4.587089e-09, 2.805538e-11
7.5, 4.575576e-09, 2.444534e-11
8.0, 4.604282e-09, 2.917398e-11
8.5, 4.585619e-09, 2.673338e-11
9.0, 4.609304e-09, 2.734353e-11
9.5, 4.601699e-09, 2.515719e-11
10.0, 4.629234e-09, 2.444531e-11
10.5, 4.610063e-09, 2.627583e-11
11.0, 4.578976e-09, 2.256407e-11
11.5, 4.577605e-09, 2.332672e-11
12.0, 4.558944e-09, 1.386937e-11
12.5, 4.531147e-09, 1.290329e-11
13.0, 4.462177e-09, 1.229314e-11
13.5, 4.505028e-09, 1.142876e-11
14.0, 4.478503e-09, 1.325921e-11
14.5, 4.575832e-09, 2.175049e-11
15.0, 4.676299e-09, 2.281824e-11
15.5, 4.685582e-09, 2.159794e-11
16.0, 4.73706e-09, 2.058102e-11
16.5, 4.72504e-09, 2.281824e-11
17.0, 4.758511e-09, 2.185219e-11
17.5, 4.736604e-09, 2.256402e-11
18.0, 4.800103e-09, 2.276742e-11
18.5, 4.77804e-09, 2.012342e-11
19.0, 4.792899e-09, 2.124202e-11
19.5, 4.734372e-09, 2.042848e-11
20.0, 4.803244e-09, 2.185218e-11
20.5, 4.755061e-09, 7.564473e-12
21.0, 4.658907e-09, 8.733925e-12
21.5, 4.72509e-09, 1.727605e-11
22.0, 4.827641e-09, 1.976749e-11
22.5, 4.822569e-09, 1.869973e-11
23.0, 4.856853e-09, 1.788621e-11
23.5, 4.860201e-09, 1.70218e-11
24.0, 4.909497e-09, 1.915733e-11
24.5, 4.870903e-09, 1.961496e-11
25.0, 4.920456e-09, 1.84455e-11
25.5, 4.921116e-09, 1.824213e-11
26.0, 4.927098e-09, 1.72252e-11
26.5, 4.866542e-09, 1.686927e-11
27.0, 4.865425e-09, 1.717435e-11
27.5, 4.950225e-09, 1.808959e-11
28.0, 4.916394e-09, 6.445858e-12
28.5, 4.824394e-09, 7.15771e-12
29.0, 4.685631e-09, 8.68307e-12
29.5, 4.796853e-09, 9.54746e-12
30.0, 4.761003e-09, 6.954309e-12
30.5, 4.906707e-09, 1.493714e-11
31.0, 4.995971e-09, 1.630996e-11
31.5, 5.028788e-09, 1.864891e-11
32.0, 5.080673e-09, 1.864885e-11
32.5, 5.065101e-09, 1.615744e-11
33.0, 5.112928e-09, 1.793703e-11
33.5, 5.113233e-09, 1.681843e-11
34.0, 5.131236e-09, 1.875057e-11
34.5, 5.112013e-09, 1.646251e-11
35.0, 5.147413e-09, 1.788618e-11
35.5, 5.137067e-09, 1.610658e-11
36.0, 4.998462e-09, 7.615306e-12
36.5, 5.07697e-09, 1.519137e-11
37.0, 5.153806e-09, 1.66659e-11
37.5, 5.198183e-09, 1.569981e-11
38.0, 5.227244e-09, 1.681843e-11
38.5, 5.197471e-09, 1.549643e-11
39.0, 5.239317e-09, 1.585236e-11
39.5, 5.243268e-09, 1.493712e-11
40.0, 5.294141e-09, 1.625909e-11
40.5, 5.279836e-09, 1.305582e-11
41.0, 5.164304e-09, 1.702181e-11
41.5, 5.229479e-09, 1.514051e-11
42.0, 5.213451e-09, 1.55473e-11
42.5, 5.237335e-09, 1.437782e-11
43.0, 5.160499e-09, 4.412016e-12
43.5, 5.264824e-09, 1.569981e-11
44.0, 5.33258e-09, 1.503882e-11
44.5, 5.343995e-09, 1.320836e-11
45.0, 5.41515e-09, 1.651335e-11
45.5, 5.403284e-09, 1.239487e-11
46.0, 5.450654e-09, 1.788619e-11
46.5, 5.442234e-09, 1.63608e-11
47.0, 5.480524e-09, 1.585236e-11
47.5, 5.476873e-09, 1.442869e-11
48.0, 5.43944e-09, 1.70218e-11
48.5, 5.454457e-09, 1.636081e-11
49.0, 5.427275e-09, 1.651336e-11
49.5, 5.443702e-09, 6.395013e-12
50.0, 5.349218e-09, 7.61532e-12
50.5, 5.456584e-09, 1.600491e-11
51.0, 5.554319e-09, 1.575068e-11
51.5, 5.578862e-09, 1.778452e-11
52.0, 5.627908e-09, 1.610657e-11
52.5, 5.61787e-09, 1.483541e-11
53.0, 5.652607e-09, 1.641167e-11
53.5, 5.659606e-09, 1.539473e-11
54.0, 5.697132e-09, 1.392021e-11
54.5, 5.690394e-09, 1.564896e-11
55.0, 5.694605e-09, 1.33609e-11
55.5, 5.732945e-09, 1.641167e-11
56.0, 5.685173e-09, 1.580155e-11
56.5, 5.681311e-09, 1.371683e-11
57.0, 5.582923e-09, 2.98832e-12
57.5, 5.649109e-09, 4.564566e-12
58.0, 5.594742e-09, 4.157801e-12
58.5, 5.646015e-09, 5.225556e-12
59.0, 5.593066e-09, 4.61541e-12
59.5, 5.728685e-09, 1.575069e-11
60.0, 5.828344e-09, 1.432697e-11
60.5, 5.842697e-09, 1.46829e-11
