hmm nyang
08/01/2017 16:24:39.019, Testing device a1 with contact bias (volt) = 0.2V
0.5, 2.163366e-09, 2.820795e-11
1.0, 3.259161e-09, 3.685174e-11
1.5, 3.811013e-09, 3.364845e-11
2.0, 4.116992e-09, 3.232642e-11
2.5, 4.271728e-09, 3.425859e-11
3.0, 4.376917e-09, 3.308916e-11
3.5, 4.427176e-09, 3.16654e-11
4.0, 4.50021e-09, 3.191967e-11
4.5, 4.499904e-09, 3.120781e-11
5.0, 4.448274e-09, 3.334336e-11
5.5, 4.48469e-09, 3.039431e-11
6.0, 4.416933e-09, 2.714014e-11
6.5, 4.497724e-09, 2.841131e-11
7.0, 4.564368e-09, 2.754691e-11
7.5, 4.573648e-09, 2.790284e-11
8.0, 4.698768e-09, 2.581816e-11
8.5, 4.689182e-09, 2.668253e-11
9.0, 4.647441e-09, 2.536056e-11
9.5, 4.678227e-09, 2.48521e-11
10.0, 4.669203e-09, 2.403859e-11
10.5, 4.706829e-09, 2.775034e-11
11.0, 4.662405e-09, 2.414025e-11
11.5, 4.704244e-09, 2.66317e-11
12.0, 4.66692e-09, 1.173384e-11
12.5, 4.541443e-09, 1.325922e-11
13.0, 4.634813e-09, 2.358097e-11
13.5, 4.721336e-09, 2.195384e-11
14.0, 4.729249e-09, 2.322503e-11
14.5, 4.76744e-09, 2.297079e-11
15.0, 4.751972e-09, 2.134373e-11
15.5, 4.800557e-09, 2.205557e-11
16.0, 4.790772e-09, 2.169964e-11
16.5, 4.800863e-09, 2.480124e-11
17.0, 4.811361e-09, 2.058103e-11
17.5, 4.822772e-09, 2.29708e-11
18.0, 4.842198e-09, 2.124202e-11
18.5, 4.791733e-09, 2.205556e-11
19.0, 4.775301e-09, 9.750853e-12
19.5, 4.657436e-09, 9.140695e-12
20.0, 4.789297e-09, 1.946242e-11
20.5, 4.873997e-09, 2.114034e-11
21.0, 4.883684e-09, 2.073357e-11
21.5, 4.919944e-09, 2.388601e-11
22.0, 4.921516e-09, 1.84455e-11
22.5, 4.959047e-09, 1.941159e-11
23.0, 4.959354e-09, 1.95641e-11
23.5, 4.995514e-09, 2.083525e-11
24.0, 4.991863e-09, 1.829296e-11
24.5, 5.033652e-09, 2.144544e-11
25.0, 4.969041e-09, 7.51361e-12
25.5, 4.852036e-09, 7.564458e-12
26.0, 4.963106e-09, 1.890312e-11
26.5, 5.021324e-09, 2.190301e-11
27.0, 5.036643e-09, 1.849635e-11
27.5, 5.105013e-09, 2.012345e-11
28.0, 5.097708e-09, 1.737772e-11
28.5, 5.208477e-09, 1.997087e-11
29.0, 5.179263e-09, 1.803874e-11
29.5, 5.109222e-09, 2.08861e-11
30.0, 5.132348e-09, 1.951326e-11
30.5, 5.169118e-09, 1.890311e-11
31.0, 5.120687e-09, 2.098782e-11
31.5, 5.197064e-09, 1.976753e-11
32.0, 5.16009e-09, 7.157703e-12
32.5, 5.035332e-09, 8.225464e-12
33.0, 5.133669e-09, 1.753029e-11
33.5, 5.207817e-09, 1.859807e-11
34.0, 5.225266e-09, 1.895396e-11
34.5, 5.270556e-09, 1.788619e-11
35.0, 5.275933e-09, 1.859806e-11
35.5, 5.315036e-09, 1.94116e-11
36.0, 5.306821e-09, 1.646248e-11
36.5, 5.329642e-09, 1.737773e-11
37.0, 5.332887e-09, 1.697095e-11
37.5, 5.243119e-09, 1.981838e-11
38.0, 5.295509e-09, 1.676759e-11
38.5, 5.278065e-09, 1.692014e-11
39.0, 5.290943e-09, 5.835717e-12
39.5, 5.205841e-09, 5.988253e-12
40.0, 5.309104e-09, 1.727604e-11
40.5, 5.388272e-09, 1.656422e-11
41.0, 5.399478e-09, 1.737778e-11
41.5, 5.471497e-09, 1.661501e-11
42.0, 5.460189e-09, 1.610661e-11
42.5, 5.481436e-09, 1.90048e-11
43.0, 5.483872e-09, 1.503882e-11
43.5, 5.556091e-09, 1.615743e-11
44.0, 5.521252e-09, 1.849636e-11
44.5, 5.439393e-09, 1.808959e-11
45.0, 5.501624e-09, 1.834381e-11
45.5, 5.486461e-09, 1.676759e-11
46.0, 5.498531e-09, 1.514051e-11
46.5, 5.583075e-09, 1.514051e-11
47.0, 5.587082e-09, 1.498797e-11
47.5, 5.63785e-09, 1.737773e-11
48.0, 5.628519e-09, 1.717437e-11
48.5, 5.655754e-09, 1.885226e-11
49.0, 5.64906e-09, 1.773363e-11
49.5, 5.714127e-09, 1.58015e-11
50.0, 5.695008e-09, 1.590319e-11
50.5, 5.724574e-09, 1.819125e-11
51.0, 5.701603e-09, 1.559809e-11
51.5, 5.760282e-09, 1.707266e-11
52.0, 5.704036e-09, 6.801778e-12
52.5, 5.769511e-09, 1.697095e-11
53.0, 5.765809e-09, 1.615742e-11
53.5, 5.813939e-09, 1.702181e-11
54.0, 5.80131e-09, 1.549644e-11
54.5, 5.929981e-09, 1.488628e-11
55.0, 5.911674e-09, 1.70727e-11
55.5, 5.849138e-09, 1.575065e-11
56.0, 5.852687e-09, 1.671673e-11
56.5, 5.890722e-09, 1.595404e-11
57.0, 5.886514e-09, 1.686927e-11
57.5, 5.782542e-09, 1.580151e-11
58.0, 5.84097e-09, 1.402191e-11
58.5, 5.835951e-09, 1.524221e-11
59.0, 5.851767e-09, 5.276392e-12
59.5, 5.782292e-09, 3.954408e-12
60.0, 5.815203e-09, 5.784869e-12
60.5, 5.881037e-09, 1.45812e-11
