device, bv, ci, bi
1A,25.0,8.484023e-10,4.13964e-09
1B,29.0,9.99969e-07,4.547205e-09
1C,0.0,9.999685e-07,-9.810911e-11
1D,54.5,8.086249e-07,9.148557e-09
1E,0.0,2.716446e-07,-7.062025e-11
1F,27.5,2.05151e-10,3.797296e-09
1G,55.0,1.658982e-10,8.858458e-09
2A,0.0,2.502514e-10,-4.688448e-11
2B,0.0,4.740376e-07,1.47515e-07
2C,34.0,9.999687e-07,5.262377e-09
2D,0.0,-1.775681e-11,1.000038e-06
2E,53.5,9.999662e-07,8.806519e-09
2F,46.0,9.999678e-07,7.17651e-09
2G,46.5,-1.642316e-08,1.000275e-06
3A,37.5,9.999684e-07,6.410513e-09
3B,0.0,9.999687e-07,-7.239539e-11
3C,0.0,1.546579e-08,-9.455888e-11
3D,0.0,1.419096e-07,-1.010507e-10
3E,38.5,9.999688e-07,5.850902e-09
3F,0.0,1.667668e-07,-9.988423e-11
3G,21.5,3.662517e-09,2.804405e-09
4A,0.5,-3.067263e-11,1.000038e-06
4B,0.0,-1.750258e-11,1.000038e-06
4C,26.0,2.116086e-10,3.748512e-09
4D,20.5,1.882961e-09,2.741716e-09
4E,0.0,9.787771e-07,6.019434e-09
4F,33.0,1.268996e-10,4.692821e-09
4G,0.0,9.999687e-07,7.346809e-08
5A,0.0,9.999688e-07,2.110179e-08
5B,52.0,1.156118e-10,9.013292e-09
5C,34.0,9.999685e-07,5.170278e-09
5D,0.0,3.527467e-07,-9.724689e-11
5E,33.0,9.999677e-07,4.802576e-09
5F,28.0,5.842854e-07,3.866226e-09
5G,60.5,-2.248567e-11,1.00234e-08
6A,32.0,9.99969e-07,5.202531e-09
6B,31.0,9.999695e-07,4.822096e-09
6C,27.0,2.027106e-10,3.889401e-09
6D,0.0,4.586946e-07,-8.892925e-11
6E,0.0,9.999685e-07,1.970388e-08
6F,2.5,-2.253652e-11,1.000037e-06
6G,60.5,-2.182462e-11,1.006477e-08
7A,0.0,9.999687e-07,-6.275903e-11
7B,60.5,-1.165531e-11,1.076802e-08
7C,0.0,9.999681e-07,1.47825e-08
7D,0.0,9.999683e-07,1.872848e-08
7E,34.0,1.844569e-10,4.991598e-09
7F,0.0,9.999683e-07,7.957751e-08
7G,0.0,1.170934e-07,1.50034e-08
8A,0.0,-1.668905e-11,1.000038e-06
8B,0.0,-1.831611e-11,1.000036e-06
8C,0.0,1.745191e-07,9.660394e-09
8D,0.0,9.999674e-07,-6.803366e-11
8E,0.0,9.999682e-07,-1.099263e-10
8F,0.0,1.214847e-09,-8.436463e-11
8G,3.5,-3.031669e-11,1.000039e-06
