Chip,stanford_51nm
device,bias voltage, contact current, bias current
A1,37.5,-1.010502e-10,1.997596e-08
A2,45.5,2.968246e-11,1.000036e-06
A3,35.0,-1.010502e-10,1.370664e-08
A4,50.0,4.305493e-11,1.000035e-06
A5,49.0,3.771607e-11,1.000037e-06
A6,51.5,4.091939e-11,1.000033e-06
A7,60.5,3.802124e-11,2.346416e-08
A8,60.5,3.827541e-11,2.437253e-08
B1,60.5,3.59365e-11,1.860406e-08
B2,45.5,3.91398e-11,1.000036e-06
B3,60.5,3.924147e-11,1.735508e-08
B4,60.5,4.066516e-11,1.619731e-08
B5,60.5,1.92082e-11,1.237111e-08
B6,43.0,5.261391e-11,1.000034e-06
B7,60.5,3.812291e-11,1.259899e-08
B8,55.5,4.193636e-11,1.000028e-06
C1,54.5,3.968408e-10,1.063815e-08
C2,60.5,3.720769e-11,1.403579e-08
C3,60.5,3.837713e-11,1.271763e-08
C4,40.5,2.337781e-10,5.249906e-09
C5,60.5,3.980079e-11,1.04233e-08
C6,60.5,3.913979e-11,1.015709e-08
C7,60.5,3.903813e-11,9.657924e-09
C8,47.0,3.969909e-11,1.000036e-06
D1,41.0,1.399163e-10,5.161761e-09
D2,60.5,2.719102e-11,9.814848e-09
D3,60.5,2.271655e-11,8.439081e-09
D4,60.5,3.736019e-11,9.402662e-09
D5,60.5,3.54789e-11,9.530231e-09
D6,50.5,3.227554e-11,1.000031e-06
D7,37.5,4.091939e-11,1.000033e-06
D8,40.0,-3.814773e-11,1.000076e-06
E1,42.0,-1.025248e-10,4.395673e-09
E2,60.5,2.652998e-11,9.674619e-09
E3,43.5,3.528084e-10,5.716051e-09
E4,53.0,1.702714e-10,1.687879e-08
E5,40.5,3.55297e-11,1.000035e-06
E6,44.5,-3.932389e-10,4.927247e-09
E7,0.0,1.551195e-10,-6.950438e-11
E8,44.5,5.174955e-11,1.000035e-06
F1,60.5,3.898718e-11,8.853999e-09
F2,29.0,2.312335e-11,1.000154e-06
F3,49.0,1.89031e-11,1.000035e-06
F4,41.5,-1.374594e-10,4.254423e-09
F5,29.5,4.488534e-11,1.000037e-06
F6,39.0,3.380097e-11,1.000035e-06
F7,39.5,1.707263e-11,1.000047e-06
F8,44.5,-9.99889e-07,1.000037e-06
G1,38.5,4.595844e-10,3.49363e-07
G2,38.5,-3.988325e-10,3.586267e-09
G3,43.0,-4.027475e-07,1.000036e-06
G4,35.5,3.405518e-11,1.000037e-06
G5,43.0,3.626724e-10,1.000036e-06
G6,45.0,2.693674e-11,1.000035e-06
G7,60.5,3.802113e-11,6.662648e-09
G8,60.5,3.629243e-11,6.487214e-09
