device,bias voltage, contact current, bias current
A1,30.0,9.903297e-12,1.000022e-06
A2,50.5,1.157829e-12,1.00003e-06
A3,60.5,8.886371e-12,3.759376e-07
A4,37.0,8.479656e-12,1.000029e-06
A5,18.0,1.102195e-11,1.000053e-06
A6,43.0,1.0666e-11,1.000068e-06
A7,60.5,1.198795e-11,1.032307e-07
A8,60.5,8.784706e-12,3.226748e-07
B1,60.5,7.971176e-12,3.061671e-08
B2,60.5,8.174567e-12,3.005633e-08
B3,60.5,9.191474e-12,2.941207e-08
B4,21.0,1.168291e-11,1.000035e-06
B5,60.5,7.818616e-12,2.765879e-08
B6,60.5,7.666092e-12,2.702938e-08
B7,60.5,5.428871e-12,4.301778e-08
B8,47.5,8.530484e-12,1.000041e-06
C1,60.5,8.123696e-12,2.346805e-08
C2,23.0,1.005279e-12,1.000033e-06
C3,27.0,-2.503083e-12,1.000012e-06
C4,60.5,1.163204e-11,2.222694e-08
C5,60.5,1.112356e-11,2.077705e-08
C6,60.5,1.036088e-11,2.029038e-08
C7,60.5,8.018777e-13,2.010992e-08
C8,60.5,9.343963e-12,5.01927e-08
D1,60.5,8.225358e-12,1.689656e-08
D2,60.5,1.183542e-11,1.806839e-08
D3,60.5,1.112358e-11,1.733045e-08
D4,60.5,1.041174e-11,1.658536e-08
D5,46.5,1.218656e-10,3.303142e-08
D6,60.5,1.168289e-11,1.598502e-08
D7,60.5,7.411833e-12,1.559337e-08
D8,60.5,1.173373e-11,1.36287e-07
E1,60.5,9.445663e-12,1.293045e-08
E2,60.5,1.051341e-11,6.877745e-08
E3,57.0,8.88634e-12,1.000031e-06
E4,35.5,1.788637e-10,5.337735e-09
E5,60.5,1.117442e-11,1.196353e-08
E6,60.5,1.122527e-11,1.132738e-08
E7,60.5,1.157813e-12,2.630406e-08
E8,60.5,8.886381e-12,1.602767e-07
F1,60.5,1.010665e-11,1.324063e-07
F2,60.5,1.076766e-11,1.026514e-08
F3,60.5,1.198796e-11,1.024106e-08
F4,60.5,1.005583e-11,9.900484e-09
F5,60.5,-2.706484e-12,9.737828e-09
F6,60.5,1.208656e-12,9.574828e-09
F7,60.5,-2.198013e-12,3.554992e-08
F8,26.5,-1.272888e-10,3.582964e-09
G1,60.5,1.046259e-11,7.168188e-08
G2,27.5,1.936061e-11,1.000035e-06
G3,31.5,8.937181e-12,1.000013e-06
G4,30.5,-1.099433e-11,1.00004e-06
G5,60.5,1.112358e-11,8.966472e-09
G6,60.5,1.102191e-11,1.017161e-07
G7,29.5,-1.237812e-08,1.535829e-08
G8,38.0,4.106861e-12,1.000077e-06
